AirportCode	CityName	WorldAreaCode
ATL	"ATLANTA                  "	34
ATM	"ALTAMIRA                     "	316
ATN	"NAMATANAI        "	804
ATO	"ATHENS                      "	44
ATP	"AITAPE           "	804
ATQ	"AMRITSAR                     "	733
ATR	"ATAR                    "	545
ATS	"ARTESIA               "	86
ATT	"ATMAUTLUAK                "	1
ATU	"ATTU ISLAND               "	1
ATV	"ATI CHAD                          "	511
ATW	"APPLETON             "	45
ATX	"ATBASAR KAZAKHSTAN                "	738
ATY	"WATERTOWN           "	67
ATZ	"ASSIUT EGYPT                      "	591
AUA	"ARUBA ARUBA                       "	277
AUC	"ARAUCA                    "	327
AUD	"AUGUSTUS DOWNS      "	802
AUE	"ABU RUEDIS       "	591
AUF	"AUXERRE                       "	427
AUG	"AUGUSTA MAINE                  "	12
AUH	"ABU DHABI      "	678
AUI	"AUA              "	804
AUJ	"AMBUNTI          "	804
AUK	"ALAKANUK                  "	1
AUL	"AUR MARSHALL ISLANDS              "	844
AUM	"AUSTIN MINNESOTA               "	63
AUN	"AUBURN                "	91
AUO	"AUBURN/OPELIKA          "	51
AUP	"AGUAN            "	804
AUQ	"ATUONA MARQUESAS IS. PAC. OC.    "	823
AUR	"AURILLAC                      "	427
AUS	"AUSTIN                     "	74
AUT	"ATAURO                   "	832
AUU	"AURUKUN MISSION     "	802
AUV	"AUMO             "	804
AUW	"WA U               "	45
AUX	"ARAGUAINA                    "	316
AUY	"ANEITYUM VANUATU                  "	885
AUZ	"AURORA                 "	41
AVB	"AVIANO                        "	450
AVC	"AVON                    "	82
AVG	"AUVERGNE N.T.            "	802
AVI	"CIEGO DE AVILA                "	219
AVK	"ARVAIKHEER MONGOLIA               "	751
AVL	"ASHEVILLE        "	36
AVN	"AVIGNON                       "	427
AVO	"AVON PARK                "	33
AVP	"SCRANTON/WILKES-BARRE PA       "	23
AVU	"AVUAVU                 "	874
AVV	"AVALON             "	802
AVW	"TUCSON                  "	81
AVX	"CATALINA ISLAND       "	91
AWA	"AWASA                      "	522
AWB	"AWABA            "	804
AWD	"ANIWA VANUATU                     "	885
AWE	"ALOWE                         "	526
AWH	"AWAREH                     "	522
AWK	"WAKE ISLAND          "	5
AWM	"WEST MEMPHIS AR           "	71
AWN	"ALTON DOWNS S.            "	802
AWP	"AUSTRAL DOWNS       "	802
AWR	"AWAR             "	804
AWZ	"AHWAZ                          "	632
AXA	"ANGUILLA WEST INDIES              "	202
AXB	"ALEXANDRIA BAY NEW YORK        "	22
AXC	"ARAMAC              "	802
AXD	"ALEXANDROUPOLIS              "	433
AXG	"ALGONA                   "	61
AXK	"ATAQ                          "	694
AXL	"ALEXANDRIA N.T.          "	802
AXM	"                   "	327
AXN	"ALEXANDRIA MINNESOTA           "	63
AXP	"SPRING POINT               "	204
AXR	"ARUTUA               "	823
AXS	"ALTUS OKLAHOMA                 "	73
AXT	"AKITA                         "	736
AXU	"AXUM                       "	522
AXV	"WAPAKONETA                  "	44
AXX	"ANGEL FIRE            "	86
AYA	"AYAPEL                    "	327
AYC	"AYACUCHO                  "	327
AYD	"ALROY DOWNS N.T.         "	802
AYG	"YAGUARA                   "	327
AYI	"YARI                      "	327
AYK	"ARKALYK KAZAKHSTAN                "	738
AYL	"ANTHONY LAGOON N.T. AUST.        "	802
AYN	"ANYANG               "	713
AYO	"AYOLAS                     "	365
AYP	"AYACUCHO                      "	368
AYQ	"AYERS ROCK N.T.          "	802
AYR	"AYR                 "	802
AYS	"WAYCROSS                 "	34
AYT	"ANTALYA                      "	679
AYU	"AIYURA           "	804
AYW	"AYAWASI                  "	832
AYZ	"AMITYVILLE NEW YORK            "	22
AZB	"AMAZON BAY       "	804
AZD	"YAZD                           "	632
AZG	"APATZINGAN MEXICO                 "	148
AZI	"ABU DHABI-BATEEN   "	678
AZN	"ANDIZHAN UZBEKISTAN               "	788
AZO	"KALAMAZOO              "	43
AZR	"ADRAR                       "	500
AZT	"ZAPATOCA                  "	327
AZZ	"AMBRIZ ANGOLA                     "	502
BAA	"BIALLA           "	804
BAB	"MARYSVILLE            "	91
BAC	"BARRANCA DE UPIA          "	327
BAD	"SHREVEPORT LOUISIANA           "	72
BAE	"BARCELONNETTE                 "	427
BAF	"WESTFIELD        "	13
BAG	"BAGUIO                  "	766
BAH	"BAHRAIN IS. BAHRAIN               "	605
BAI	"BUENOS AIRES COSTA RICA           "	110
BAJ	"BALI             "	804
BAK	"BAKU AZERBAIJAN                   "	407
BAL	"ATMAN                        "	679
BAM	"BATTLE MOUNTAIN           "	85
BAN	"BASONGO ZAIRE                     "	517
BAO	"BAN MAK KHAENG            "	782
BAP	"BAIBARA          "	804
BAQ	"BARRANQUILLA              "	327
BAR	"BAKER ISLAND              "	1
BAS	"BALALAE                "	874
BAT	"BARRETOS                     "	316
BAU	"BAURU                        "	316
BAV	"BAOTOU                       "	713
BAW	"BIAWONQUE                     "	526
BAX	"BARNAUL                      "	770
BAY	"BAIA MARE ROMANIA                 "	473
BAZ	"BARCELOS                     "	316
BBA	"BALMACEDA CHILE                   "	324
BBB	"BENSON MINNESOTA               "	63
BBC	"BAY CITY                   "	74
BBD	"BRADY                      "	74
BBE	"BIG BELL W.               "	802
BBF	"BURLINGTON       "	13
BBG	"BUTARITARI  "	824
BBH	"BARTH                       "	429
BBI	"BHUBANESWAR                  "	733
BBK	"KASANE                   "	510
BBL	"BABOL SAR                      "	632
BBM	"BATTAMBANG    "	709
BBN	"BARIO SARAWAK            "	749
BBO	"BERBERA                    "	573
BBP	"BEMBRIDGE               "	493
BBQ	"BARBUDA                "	206
BBR	"BASSE TERRE             "	235
BBS	"BLACKBUSH              "	493
BBT	"BERBERATI      "	509
BBU	"BUCHAREST                     "	473
BBV	"BEREBY                 "	533
BBW	"BROKEN BOW              "	65
BBX	"BLUE BELL           "	23
BBY	"BAMBARI        "	509
BBZ	"ZAMBEZI                     "	597
BCA	"BARACOA                       "	219
BCB	"BLACKSBURG             "	38
BCC	"BEAR CREEK                "	1
BCD	"BACOLOD                 "	766
BCE	"BRYCE CANYON UTAH              "	87
BCF	"BOUCA CEN. AFRICAN REPUBLIC       "	509
BCG	"BEMICHI GUYANA                    "	350
BCH	"BAUCAU                   "	862
BCI	"BARCALDINE          "	802
BCJ	"BACA GRANDE             "	82
BCK	"BOLWORRA            "	802
BCL	"BARRA   COSTA RICA         "	110
BCM	"BACAU ROMANIA                     "	473
BCN	"BARCELONA                    "	482
BCO	"BACO                       "	522
BCP	"BAMBU            "	804
BCQ	"BRACH LIBYAN A JAMAHIRIYA         "	538
BCR	"BOCA DO ACRE                 "	316
BCS	"BELLE CHASSE LOUISIANA         "	72
BCT	"BOCA RATON               "	33
BCU	"BAUCHI                      "	555
BCV	"BELMOPAN BELIZE                   "	106
BCX	"BELORECK                     "	475
BCY	"BULCHI                     "	522
BCZ	"BICKERTON ISLAND NT      "	802
BDA	"BERMUDA ATLANTIC OCEAN            "	207
BDB	"BUNDABERG           "	802
BDC	"BARRA DO CORDA               "	316
BDD	"BADU ISLAND         "	802
BDE	"BAUDETTE MINNESOTA             "	63
BDF	"BRADFORD               "	41
BDG	"BLANDING UTAH                  "	87
BDH	"BANDAR LENGEH                  "	632
BDI	"BIRD IS. SEYCHELLES IS. N OCE"	570
BDJ	"BANJARMASIN              "	832
BDK	"BONDOUKOU              "	533
BDL	"HARTFORD CT/SPRINGFIELD MA    "	11
BDM	"BANDIRMA                     "	679
BDN	"ADIN                       "	764
BDO	"BANDUNG                  "	832
BDP	"BHADRAPUR                    "	755
BDQ	"VADODARA                     "	733
BDR	"BRIDGEPORT CONNECTICUT         "	11
BDS	"BRINDISI                      "	450
BDT	"BADO LITE ZAIRE                   "	517
BDU	"BARDUFOSS                    "	465
BDV	"MOBA ZAIRE                        "	517
BDW	"BEDFORD DOWNS W.          "	802
BDX	"BROADUS                 "	84
BDY	"BANDON OREGON                  "	92
BDZ	"BAINDOUNG        "	804
BEA	"BEREINA          "	804
BEB	"BENBECULA HEBRIDES IS. SCOT. U.K"	493
BED	"BEDFORD          "	13
BEE	"BEAGLE              "	802
BEF	"BLUEFIELDS NICARAGUA              "	153
BEG	"BELGRADE SERBIA                   "	480
BEH	"BENTON HARBOR          "	43
BEI	"BEICA                      "	522
BEJ	"BERAU                    "	832
BEK	"RAE BARELI                   "	733
